X,Keywords (696),Avg. CPC,Local Searches,Global Searches,Advertiser Competition
 ,gardening,0.85,1220000,2740000,41
 ,gardeners supply,0.24,60500,60500,42
 ,gardening supplies,1.16,22200,40500,79
 ,gardens,0.74,7480000,20400000,20
 ,garden supplies,0.87,90500,165000,61
 ,gardeners,0.64,673000,1500000,37
 ,garden planning,0.60,27100,60500,62
 ,garden decorations,0.80,40500,74000,94
 ,gardening for dummies,0.65,1900,3600,51
 ,home gardening,0.49,22200,33100,40
 ,raised bed gardening,0.84,27100,33100,100
 ,gardening tips,1.08,22200,40500,48
 ,garden ideas,1.05,110000,301000,61
 ,garden plans,0.97,74000,165000,69
 ,garden designs,1.16,135000,368000,70
 ,container gardening,0.90,49500,74000,55
 ,garden planner,0.63,22200,40500,64
 ,design a garden,1.24,135000,450000,67
 ,garden trellis,0.99,14800,27100,100
 ,garden flowers,1.38,49500,110000,47
 ,garden world,0.82,40500,110000,16
 ,vegetable garden,0.93,165000,246000,44
 ,home and garden,0.58,368000,823000,35
 ,organic gardening magazine,0.80,2400,3600,64
 ,garden design ideas,1.28,9900,40500,73
 ,raised garden beds,0.92,60500,90500,100
 ,vegetable gardening,0.94,110000,165000,48
 ,organic gardening,1.16,40500,60500,52
 ,garden equipment,0.93,33100,110000,89
 ,garden tools,0.86,74000,201000,94
 ,small garden design,1.19,3600,22200,74
 ,gardeners supply company,0.13,5400,5400,28
 ,garden pots,0.83,18100,60500,100
 ,garden stakes,0.73,12100,18100,100
 ,garden boxes,0.95,14800,33100,96
 ,small garden ideas,1.15,6600,27100,64
 ,dutch gardens,0.39,5400,9900,26
 ,garden edging ideas,0.93,2400,6600,100
 ,herb garden,0.78,60500,110000,59
 ,gardening ideas,1.11,49500,110000,56
 ,gardens alive,0.16,8100,9900,16
 ,gardener supply,0.23,49500,60500,42
 ,indoor herb garden,0.77,9900,12100,92
 ,garden supply company,0.16,6600,8100,40
 ,winter garden,1.36,165000,246000,21
 ,vegetable garden design,0.82,12100,18100,63
 ,direct gardening,0.27,6600,22200,40
 ,indoor gardening,1.16,22200,60500,66
